n,OSQP (warm start) max,OSQP (cold start) max,OSQP (no caching) max,GUROBI max,MOSEK max
10,0.013573184,0.013079854,0.013053117,0.016623973846435547,0.07222795486450195
50,0.544290266,0.545056046,0.54709238,0.29698801040649414,0.4316082000732422
100,2.350134773,2.266350567,2.257802721,1.8959879875183105,2.070401906967163
500,82.91909819899999,82.890490853,82.876383214,40.43070197105408,66.28031802177429
1000,344.026670835,332.22492332499996,332.02346930199997,194.2653079032898,358.26718521118164
