problem name,setup time,solve time,run time,status,primal residual,dual residual,duality gap,restart,iterations,task_id,restart_type,alpha,rho_is_vec,adaptive_rho_tolerance_greater,adaptive_rho_tolerance_less,rho_custom_condition,rho_custom_tolerance,adapt_rho_on_restart,custom_average_rest,beta,ini_rest_len,lambd,xi,vector_rho_in_averaged_KKT,halpern_scheme,alpha_adjustment_reflected_halpern,adaptive_rest,restart_necessary,restart_artificial,halpern_step_first_inner_iter
DUAL1,0.000298372,0.000835276,0.0011336480000000001,solved,4.2172907670453484e-09,1.1735761827320929e-07,6.908460047777565e-08,1,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DUAL2,0.000360463,0.001041877,0.0014023400000000002,solved,1.7181937387498017e-09,8.551818046359723e-08,7.743254176045822e-08,1,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DUAL3,0.000469353,0.00140177,0.0018711230000000001,solved,6.146292660025998e-09,2.2753850918425693e-07,2.1341679032338412e-07,1,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DUAL4,0.000207181,0.000653554,0.000860735,solved,6.173375399307636e-08,2.766849389944605e-07,2.111747851030188e-07,1,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DUALC1,0.000130031,0.004786562,0.004916593,solved,1.2376726850070172e-08,0.2467839169517826,0.004323018453931082,14,700,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DUALC2,0.00012946,0.001640801,0.0017702610000000002,solved,1.6144107354559918e-08,0.0074792132947999026,-0.001431395862414625,5,275,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DUALC5,0.000144731,0.000627064,0.000771795,solved,3.542607445958433e-08,3.1717560038309495e-06,-1.6643495489686244e-05,1,75,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DUALC8,0.000259792,0.001072187,0.001331979,solved,3.0321538203843975e-08,0.010200111492801164,0.006519697276938866,1,75,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
EXDATA,0.358817471,6.611903846,6.970721317,solved,1.2244061714739018e-05,2.648344611141593e-06,-9.55822998344642e-05,23,1150,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
GENHS28,0.00011386,3.1541e-05,0.000145401,solved,1.3897433450027083e-09,3.5902620876271385e-09,6.971083266194e-09,1,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
GOULDQP2,0.000402943,0.057491585,0.057894528,solved,3.362634615200477e-05,3.697312164659926e-10,-3.3617897852826484e-07,43,2175,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
GOULDQP3,0.000474433,0.001301779,0.001776212,solved,4.022339350484572e-09,1.631459897021014e-08,9.870644577492093e-07,1,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
HS118,0.000132101,0.000487303,0.000619404,solved,1.8258021423633863e-06,5.113051284588721e-08,-1.5084033293533137e-06,13,675,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
HS21,3.421e-05,2.03e-05,5.451e-05,solved,7.621471044541431e-07,1.874919494353522e-08,7.012517330706736e-09,1,75,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
HS268,2.06e-05,0.000101291,0.000121891,solved,2.9937461788616806e-14,0.005304829026330345,-0.026615756172583622,5,250,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
HS35,1.299e-05,1.489e-05,2.7879999999999997e-05,solved,8.632117123050005e-11,1.7898321713616383e-11,1.770514761034759e-12,1,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
HS35MOD,1.254e-05,1.521e-05,2.775e-05,solved,6.93985105987867e-10,7.3020380852994996e-09,4.96574115365242e-09,1,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
HS51,1.539e-05,1.9251e-05,3.4640999999999996e-05,solved,6.000127132139516e-09,2.089465737631865e-08,2.7803403478299667e-08,1,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
HS52,1.504e-05,1.862e-05,3.366e-05,solved,7.145616255768474e-12,3.233602123646081e-11,6.803184170798909e-11,1,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
HS53,1.407e-05,1.084e-05,2.491e-05,solved,3.5527750360094117e-07,4.239780161608801e-06,2.8387329139679874e-06,0,25,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
HS76,1.999e-05,1.8671e-05,3.8661e-05,solved,4.0779076613981343e-07,3.160869573903304e-07,3.0576746839733224e-07,1,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
HUES-MOD,0.004143708,0.562331754,0.566475462,solved,0.0003780454452453341,1.8192039246203717e-07,-59.775211066007614,38,1925,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
HUESTIS,0.004134398,4.336121333,4.340255731,solved,0.00045861539229008486,7.415374318367e-05,-695999.6610107423,296,14825,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
KSIP,0.001067307,0.547007191,0.548074498,solved,1.2540294000995544e-06,1.8687368168457397e-06,1.204020365186409e-06,195,9750,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LASER,0.000800306,0.005622197,0.0064225029999999995,solved,2.2744578941745002e-05,3.498894667676819e-06,-0.5231518447399139,2,125,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LISWET1,0.006473803,12.141153544,12.147627347,solved inaccurate,1.1498820796349276e-05,7.627935165700486e-07,-0.0010193333909788247,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LISWET10,0.006433343,12.144681668,12.151115011,solved inaccurate,3.5503712844007384e-06,3.3641469021882344e-07,-0.0002623106551867295,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LISWET11,0.006492034,12.182606791,12.189098825,solved inaccurate,3.7824565619274325e-06,3.523666183806031e-07,-0.0004217749367105625,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LISWET12,0.006454753,12.137172625,12.143627378,solved inaccurate,4.768875207438049e-06,4.084211931044156e-07,-0.0015737495912345365,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LISWET2,0.006432623,12.175561789,12.181994412,solved inaccurate,3.7739390493071452e-06,3.0678927061025967e-07,-0.0002337812586535785,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LISWET3,0.006436374,12.111455442,12.117891816,solved inaccurate,3.7555636198056308e-06,3.061776947536218e-07,-0.00023210665483485124,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LISWET4,0.006418084,12.164425552,12.170843636,solved inaccurate,3.7515462069399187e-06,3.070330436854684e-07,-0.00023131509084267166,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LISWET5,0.006383313,8.357996792,8.364380105,solved,3.7113744929982503e-06,6.770776279145922e-07,-0.000231205706117762,344,17225,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LISWET6,0.006788536,12.12144615,12.128234686,solved inaccurate,3.494647385577469e-06,3.307828818595368e-07,-0.0002259600122211168,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LISWET7,0.006417874,12.126359964,12.132777838,solved inaccurate,3.8389923376914724e-06,3.032593119957161e-07,-0.0003084741998731836,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
