problem name,setup time,solve time,run time,status,objective,primal residual,primal ratio,prim_normalized,dual residual,dual ratio,dual_normalized,duality gap,duality gap ratio,duality_gap_normalized,integral_sum,restart,iterations,task_id,restart_type,alpha,rho_is_vec,adaptive_rho_tolerance_greater,adaptive_rho_tolerance_less,rho_custom_condition,rho_custom_tolerance,adapt_rho_on_restart,custom_average_rest,beta,ini_rest_len,lambd,xi,vector_rho_in_averaged_KKT,halpern_scheme,alpha_adjustment_reflected_halpern,adaptive_rest,restart_necessary,restart_artificial,halpern_step_first_inner_iter,pid_controller,KP,KI,negate_K
neos-4338804-snowy_MIPLIB,0.001770952,0.008239778,0.010010729999999999,solved,1446.999744489821,1.2952251994269304e-06,0.0005655042802426145,5.655042802426142e-10,4.581856294705311e-06,0.18327425179265333,1.8327425178821243e-07,-0.0001194987522694646,0.08252673888510077,8.252677036881794e-08,0.10757679167145634,2,125,38,reflected halpern,0.873196285374467,-1,55.77508444828117,66.3183402847645,-1,-1,1,-1,0.5231147385733192,50,0.3077281105185389,-1,-1,none,1,1,0.7181643747741039,0.3563048661676161,0,1,25.065514286832414,64.95962290917662,-1
neos-4387871-tavua_MIPLIB,0.012693687,0.526044736,0.538738423,solved,10.143823551893876,1.1072940065304238e-05,0.7909242904519546,7.909242903788741e-07,5.741583899532722e-07,0.23782451637788862,2.37824516399291e-07,7.800591591232533e-06,0.6999923826763935,6.999923818702992e-07,9.31952960281976,23,1150,38,reflected halpern,0.873196285374467,-1,55.77508444828117,66.3183402847645,-1,-1,1,-1,0.5231147385733192,50,0.3077281105185389,-1,-1,none,1,1,0.7181643747741039,0.3563048661676161,0,1,25.065514286832414,64.95962290917662,-1
neos-4532248-waihi_MIPLIB,0.447204771,15.399664441,15.846869212000001,solved,2.3193425232050578e-07,3.084351620117587e-06,0.0019232290483574242,4.796814581632171e-09,1.670033693343065e-06,0.8350168466715324,8.350168466715324e-07,1.9111550599306347e-07,0.191115570080095,1.9111546166684178e-07,17730.520397385477,45,2275,38,reflected halpern,0.873196285374467,-1,55.77508444828117,66.3183402847645,-1,-1,1,-1,0.5231147385733192,50,0.3077281105185389,-1,-1,none,1,1,0.7181643747741039,0.3563048661676161,0,1,25.065514286832414,64.95962290917662,-1
neos-4738912-atrato_MIPLIB,0.005092875,69.918324418,69.923417293,solved,65143511.24409501,9.063892022669313e-05,0.3327002820335274,3.327002820339443e-07,7.839646199322468,0.9039505652425582,9.039505649821657e-07,5.0322604146884755,0.07724886034025386,7.724883478545676e-08,75.75736553325002,6705,335275,38,reflected halpern,0.873196285374467,-1,55.77508444828117,66.3183402847645,-1,-1,1,-1,0.5231147385733192,50,0.3077281105185389,-1,-1,none,1,1,0.7181643747741039,0.3563048661676161,0,1,25.065514286832414,64.95962290917662,-1
neos-4954672-berkel_MIPLIB,0.004083138,3.446525243,3.450608381,solved,1150229.9340335224,0.00258056796568856,0.45273891174248254,4.5273891174248244e-07,0.020189828804392917,0.2785303405070557,2.7853034067313826e-07,0.2857321282363045,0.248412836040317,2.4841283587664067e-07,11.602259229615653,478,23925,38,reflected halpern,0.873196285374467,-1,55.77508444828117,66.3183402847645,-1,-1,1,-1,0.5231147385733192,50,0.3077281105185389,-1,-1,none,1,1,0.7181643747741039,0.3563048661676161,0,1,25.065514286832414,64.95962290917662,-1
neos-5107597-kakapo_MIPLIB,0.003789136,0.090935179,0.094724315,solved,-2.7164185340128545e-08,6.964856473702956e-10,1.086264633406356e-06,1.086561072339539e-12,2.656801417257099e-10,1.3983165353957884e-05,1.3983165353957881e-11,5.939205753718287e-07,0.5939206263862579,5.939202064970393e-07,49.57813551956131,10,525,38,reflected halpern,0.873196285374467,-1,55.77508444828117,66.3183402847645,-1,-1,1,-1,0.5231147385733192,50,0.3077281105185389,-1,-1,none,1,1,0.7181643747741039,0.3563048661676161,0,1,25.065514286832414,64.95962290917662,-1
neos-5188808-nattai_MIPLIB,0.082760873,0.534099445,0.616860318,solved,-4.0386515798947714e-07,1.0367685642069e-07,0.0026024960223112784,2.6024960223112767e-09,2.507377236671271e-08,0.012536886065280826,1.2536886065280826e-08,-4.212361692855406e-07,0.42123599205757273,4.212359991629972e-07,123.8308884574108,5,275,38,reflected halpern,0.873196285374467,-1,55.77508444828117,66.3183402847645,-1,-1,1,-1,0.5231147385733192,50,0.3077281105185389,-1,-1,none,1,1,0.7181643747741039,0.3563048661676161,0,1,25.065514286832414,64.95962290917662,-1
neos-5195221-niemur_MIPLIB,0.207639896,2.077504912,2.285144808,solved,1.029860803197683e-07,8.8677907073459e-06,0.6830740873146491,7.389825589454917e-07,1.06196713688389e-06,0.5899817427117303,5.899817427132723e-07,-5.986995233965143e-08,0.05986994258947011,5.98699425894701e-08,57.50828410187577,11,550,38,reflected halpern,0.873196285374467,-1,55.77508444828117,66.3183402847645,-1,-1,1,-1,0.5231147385733192,50,0.3077281105185389,-1,-1,none,1,1,0.7181643747741039,0.3563048661676161,0,1,25.065514286832414,64.95962290917662,-1
neos-631710_MIPLIB,0.738338508,79.070633774,79.808972282,solved,188.25001455104461,9.865474121785345e-07,0.1075996712780943,4.932737060620003e-07,1.5006912301718245e-06,0.7503452016628427,7.503452016628426e-07,6.172632907919251e-06,0.03261628882796227,3.261628762651622e-08,6515.589391009248,157,7875,38,reflected halpern,0.873196285374467,-1,55.77508444828117,66.3183402847645,-1,-1,1,-1,0.5231147385733192,50,0.3077281105185389,-1,-1,none,1,1,0.7181643747741039,0.3563048661676161,0,1,25.065514286832414,64.95962290917662,-1
neos-662469_MIPLIB,0.069631662,14.032306296,14.101937958,solved,184340.73285607918,3.1373569672170718e-06,0.12993762177971668,1.644796167170617e-07,0.004651103621745141,0.465063820392601,4.650638203910242e-07,0.0989423768160691,0.536733463750631,5.367334638940181e-07,986.9696681699498,298,14925,38,reflected halpern,0.873196285374467,-1,55.77508444828117,66.3183402847645,-1,-1,1,-1,0.5231147385733192,50,0.3077281105185389,-1,-1,none,1,1,0.7181643747741039,0.3563048661676161,0,1,25.065514286832414,64.95962290917662,-1
