problem name,setup time,solve time,run time,status,objective,primal residual,primal ratio,prim_normalized,dual residual,dual ratio,dual_normalized,duality gap,duality gap ratio,duality_gap_normalized,integral_sum,restart,iterations,task_id,restart_type,alpha,rho_is_vec,adaptive_rho_tolerance_greater,adaptive_rho_tolerance_less,rho_custom_condition,rho_custom_tolerance,adapt_rho_on_restart,custom_average_rest,beta,ini_rest_len,lambd,xi,vector_rho_in_averaged_KKT,halpern_scheme,alpha_adjustment_reflected_halpern,adaptive_rest,restart_necessary,restart_artificial,halpern_step_first_inner_iter,pid_controller,KP,KI,negate_K
QSHIP08L_Maros_Meszaros,0.012732347,3.346573463,3.35930581,solved,2376040.8346838458,9.673526092667607e-05,0.6055969252010119,7.616949667274832e-07,0.0010440924261128077,0.12680354820908604,1.268035479863924e-07,0.2796992545298163,0.10100583052442094,1.0100582925658292e-07,2.5950105765155893,170,8500,39,reflected halpern,1.2754739797179424,-1,43.14662414891187,47.82999822231643,-1,-1,1,-1,0.6368949146883314,50,0.09391860994364533,-1,-1,none,1,1,0.5253651286618276,0.22923978427822947,0,0,-1,-1,-1
QSHIP08S_Maros_Meszaros,0.00309329,0.604506041,0.6075993310000001,solved,2385727.9884649646,7.496297226074535e-05,0.5902596129968021,5.902596129968016e-07,0.003985221173290585,0.48400508640005707,4.840050864668415e-07,-0.853194262266465,0.30699070370656917,3.0699070534599945e-07,0.9834934240154735,84,4200,39,reflected halpern,1.2754739797179424,-1,43.14662414891187,47.82999822231643,-1,-1,1,-1,0.6368949146883314,50,0.09391860994364533,-1,-1,none,1,1,0.5253651286618276,0.22923978427822947,0,0,-1,-1,-1
QSHIP12L_Maros_Meszaros,0.018705647,1.73941138,1.758117027,solved,3018876.3882372617,8.888394997268418e-05,0.6862288913276375,9.540344838995053e-07,0.003283897653236115,0.392293699838066,3.9229369988933986e-07,-0.18933022810253658,0.04148486189514701,4.148486607056523e-08,25.74377679602884,54,2725,39,reflected halpern,1.2754739797179424,-1,43.14662414891187,47.82999822231643,-1,-1,1,-1,0.6368949146883314,50,0.09391860994364533,-1,-1,none,1,1,0.5253651286618276,0.22923978427822947,0,0,-1,-1,-1
QSHIP12S_Maros_Meszaros,0.003312932,0.365918993,0.369231925,solved,3056962.052319844,5.08609814695674e-05,0.4605665580214926,5.451950027330829e-07,0.007269147051172417,0.8689377535685253,8.689377536394855e-07,-0.16538187370781984,0.03580108106769707,3.580108242483783e-08,7.130389703536916,41,2050,39,reflected halpern,1.2754739797179424,-1,43.14662414891187,47.82999822231643,-1,-1,1,-1,0.6368949146883314,50,0.09391860994364533,-1,-1,none,1,1,0.5253651286618276,0.22923978427822947,0,0,-1,-1,-1
QSIERRA_Maros_Meszaros,0.001662971,1.09964407,1.101307041,solved,23750612.003506247,0.04454168442661257,0.24401666686359164,4.4541239014222393e-07,0.059999999999999346,0.9505101069869156,9.505101069869155e-07,28.638909814146018,0.956267111656263,9.562671121915296e-07,78.8088773021602,277,13850,39,reflected halpern,1.2754739797179424,-1,43.14662414891187,47.82999822231643,-1,-1,1,-1,0.6368949146883314,50,0.09391860994364533,-1,-1,none,1,1,0.5253651286618276,0.22923978427822947,0,0,-1,-1,-1
QSTAIR_Maros_Meszaros,0.000980007,3.949515334,3.950495341,solved,7985447.599437278,0.0002614429326793824,0.9982551832947727,9.98255183294772e-07,0.00010506233977900641,0.00261837217159567,2.618371995440035e-09,-5.156810966884388,0.3228795719921433,3.228795722023964e-07,13.776450314533607,2195,109750,39,reflected halpern,1.2754739797179424,-1,43.14662414891187,47.82999822231643,-1,-1,1,-1,0.6368949146883314,50,0.09391860994364533,-1,-1,none,1,1,0.5253651286618276,0.22923978427822947,0,0,-1,-1,-1
QSTANDAT_Maros_Meszaros,0.000746925,0.314296652,0.315043577,solved,6411.84976551736,1.3024586674413437e-05,0.0005122255513283273,1.3236356065192435e-08,4.451360790386216e-08,0.0003678804269710514,3.678804269137054e-10,0.011420485014923543,0.9919031429768679,9.919031435100655e-07,85.91680981322988,166,8325,39,reflected halpern,1.2754739797179424,-1,43.14662414891187,47.82999822231643,-1,-1,1,-1,0.6368949146883314,50,0.09391860994364533,-1,-1,none,1,1,0.5253651286618276,0.22923978427822947,0,0,-1,-1,-1
S268_Maros_Meszaros,7.202e-05,9.6511e-05,0.000168531,solved,-14462.999794075087,2.9937461788616806e-14,0.0,9.159740891662462e-16,0.005304829026330345,0.15511649546240905,1.551164954042617e-07,-0.026615756172583622,0.9201016715746005,9.201016711283253e-07,0.0007265976225094844,5,250,39,reflected halpern,1.2754739797179424,-1,43.14662414891187,47.82999822231643,-1,-1,1,-1,0.6368949146883314,50,0.09391860994364533,-1,-1,none,1,1,0.5253651286618276,0.22923978427822947,0,0,-1,-1,-1
STCQP1_Maros_Meszaros,0.008316536,0.024692618,0.033009154,solved,155143.554704155,5.917879793868703e-10,4.5522150151975125e-05,4.552215226052848e-11,6.760408558855304e-08,6.202096053784905e-05,6.202208963765642e-11,1.1658994480967522e-07,3.7312108987243846e-07,3.7574738210884455e-13,0.19271688390401806,1,75,39,reflected halpern,1.2754739797179424,-1,43.14662414891187,47.82999822231643,-1,-1,1,-1,0.6368949146883314,50,0.09391860994364533,-1,-1,none,1,1,0.5253651286618276,0.22923978427822947,0,0,-1,-1,-1
STCQP2_Maros_Meszaros,0.016106779,0.040747476,0.056854255,solved,22327.31327241729,3.652192178958096e-11,2.617530124273169e-06,2.809378599198535e-12,1.6440726788548697e-08,5.989987695803924e-05,5.98993228337096e-11,3.1359377317130566e-08,7.618833378087946e-07,7.022491843361668e-13,0.3738014050354329,1,75,39,reflected halpern,1.2754739797179424,-1,43.14662414891187,47.82999822231643,-1,-1,1,-1,0.6368949146883314,50,0.09391860994364533,-1,-1,none,1,1,0.5253651286618276,0.22923978427822947,0,0,-1,-1,-1
