iteration,prob_name,prim_res,dual_res,duality_gap,restart
43,AUG2DCQP,8.831e+00,1.879e+00,-1.079e+06,0
44,AUG2DCQP,8.649e+00,2.027e+00,-1.050e+06,0
45,AUG2DCQP,8.522e+00,1.910e+00,-1.026e+06,0
46,AUG2DCQP,8.394e+00,2.567e+00,-1.005e+06,0
47,AUG2DCQP,8.270e+00,3.182e+00,-9.875e+05,0
48,AUG2DCQP,8.151e+00,3.566e+00,-9.710e+05,0
49,AUG2DCQP,8.073e+00,3.922e+00,-9.565e+05,0
50,AUG2DCQP,7.985e+00,4.388e+00,-9.432e+05,0
51,AUG2DCQP,7.909e+00,4.897e+00,-9.311e+05,0
52,AUG2DCQP,7.813e+00,5.073e+00,-9.195e+05,0
53,AUG2DCQP,7.704e+00,5.730e+00,-9.087e+05,0
54,AUG2DCQP,7.655e+00,5.930e+00,-8.986e+05,0
55,AUG2DCQP,7.561e+00,6.462e+00,-8.894e+05,0
56,AUG2DCQP,7.525e+00,6.593e+00,-8.807e+05,0
57,AUG2DCQP,7.448e+00,7.003e+00,-8.726e+05,0
58,AUG2DCQP,7.396e+00,7.187e+00,-8.645e+05,0
59,AUG2DCQP,7.287e+00,7.869e+00,-8.568e+05,0
60,AUG2DCQP,7.253e+00,8.152e+00,-8.494e+05,0
61,AUG2DCQP,7.178e+00,8.659e+00,-8.427e+05,0
62,AUG2DCQP,7.142e+00,8.808e+00,-8.363e+05,0
63,AUG2DCQP,7.079e+00,9.183e+00,-8.303e+05,0
64,AUG2DCQP,7.043e+00,9.273e+00,-8.244e+05,0
65,AUG2DCQP,6.975e+00,9.531e+00,-8.186e+05,0
66,AUG2DCQP,6.904e+00,9.623e+00,-8.128e+05,0
67,AUG2DCQP,6.845e+00,1.327e+00,-8.030e+05,1
68,AUG2DCQP,6.729e+00,1.150e+00,-7.915e+05,0
69,AUG2DCQP,6.635e+00,1.430e+00,-7.767e+05,0
70,AUG2DCQP,6.566e+00,1.539e+00,-7.638e+05,0
71,AUG2DCQP,6.505e+00,2.056e+00,-7.529e+05,0
72,AUG2DCQP,6.447e+00,2.353e+00,-7.430e+05,0
73,AUG2DCQP,6.399e+00,2.601e+00,-7.340e+05,0
74,AUG2DCQP,6.337e+00,2.816e+00,-7.255e+05,0
75,AUG2DCQP,6.263e+00,3.129e+00,-7.176e+05,0
76,AUG2DCQP,6.213e+00,3.478e+00,-7.101e+05,0
77,AUG2DCQP,6.174e+00,3.712e+00,-7.033e+05,0
78,AUG2DCQP,6.131e+00,3.880e+00,-6.971e+05,0
79,AUG2DCQP,6.095e+00,4.195e+00,-6.913e+05,0
80,AUG2DCQP,6.061e+00,4.460e+00,-6.859e+05,0
81,AUG2DCQP,6.028e+00,4.793e+00,-6.809e+05,0
