iteration,prob_name,prim_res,dual_res,duality_gap,restart
3743,AUG2DCQP,4.877e-01,2.047e-02,-5.603e+04,0
3744,AUG2DCQP,4.872e-01,2.095e-02,-5.603e+04,0
3745,AUG2DCQP,4.877e-01,2.040e-02,-5.604e+04,0
3746,AUG2DCQP,4.872e-01,2.089e-02,-5.605e+04,0
3747,AUG2DCQP,4.877e-01,2.034e-02,-5.605e+04,0
3748,AUG2DCQP,4.871e-01,2.082e-02,-5.606e+04,0
3749,AUG2DCQP,4.876e-01,2.027e-02,-5.607e+04,0
3750,AUG2DCQP,4.871e-01,2.075e-02,-5.608e+04,0
3751,AUG2DCQP,4.876e-01,2.021e-02,-5.608e+04,0
3752,AUG2DCQP,4.870e-01,2.069e-02,-5.609e+04,0
3753,AUG2DCQP,4.876e-01,2.014e-02,-5.610e+04,0
3754,AUG2DCQP,4.870e-01,2.062e-02,-5.610e+04,0
3755,AUG2DCQP,4.875e-01,2.008e-02,-5.611e+04,0
3756,AUG2DCQP,4.870e-01,2.056e-02,-5.612e+04,0
3757,AUG2DCQP,4.875e-01,2.002e-02,-5.612e+04,0
3758,AUG2DCQP,4.869e-01,2.050e-02,-5.613e+04,0
3759,AUG2DCQP,4.875e-01,1.996e-02,-5.614e+04,0
3760,AUG2DCQP,4.869e-01,2.043e-02,-5.615e+04,0
3761,AUG2DCQP,4.874e-01,1.989e-02,-5.615e+04,0
3762,AUG2DCQP,4.869e-01,2.037e-02,-5.616e+04,0
3763,AUG2DCQP,4.874e-01,1.983e-02,-5.617e+04,0
3764,AUG2DCQP,4.868e-01,2.031e-02,-5.617e+04,0
3765,AUG2DCQP,4.874e-01,1.977e-02,-5.618e+04,0
3766,AUG2DCQP,4.868e-01,2.024e-02,-5.619e+04,0
3767,AUG2DCQP,4.874e-01,1.971e-02,-5.620e+04,0
3768,AUG2DCQP,4.868e-01,2.018e-02,-5.620e+04,0
3769,AUG2DCQP,4.873e-01,1.965e-02,-5.621e+04,0
3770,AUG2DCQP,4.867e-01,2.012e-02,-5.622e+04,0
3771,AUG2DCQP,4.873e-01,1.959e-02,-5.622e+04,0
3772,AUG2DCQP,4.867e-01,2.006e-02,-5.623e+04,0
3773,AUG2DCQP,4.873e-01,2.608e-02,-5.624e+04,0
3774,AUG2DCQP,4.797e-01,1.427e-02,-5.625e+04,0
3775,AUG2DCQP,4.733e-01,2.048e-02,-5.625e+04,0
3776,AUG2DCQP,4.746e-01,3.478e-02,-5.626e+04,0
3777,AUG2DCQP,4.673e-01,3.614e-02,-5.627e+04,0
3778,AUG2DCQP,4.713e-01,4.680e-02,-5.627e+04,0
3779,AUG2DCQP,4.641e-01,4.868e-02,-5.628e+04,0
3780,AUG2DCQP,4.691e-01,5.679e-02,-5.628e+04,0
3781,AUG2DCQP,4.621e-01,5.924e-02,-5.629e+04,0
3782,AUG2DCQP,4.675e-01,6.610e-02,-5.630e+04,0
3783,AUG2DCQP,4.607e-01,6.889e-02,-5.630e+04,0
3784,AUG2DCQP,4.664e-01,7.498e-02,-5.631e+04,0
3785,AUG2DCQP,4.597e-01,7.791e-02,-5.631e+04,0
3786,AUG2DCQP,4.655e-01,8.342e-02,-5.632e+04,0
3787,AUG2DCQP,4.588e-01,8.635e-02,-5.633e+04,0
3788,AUG2DCQP,4.648e-01,9.137e-02,-5.633e+04,0
3789,AUG2DCQP,4.582e-01,9.420e-02,-5.634e+04,0
3790,AUG2DCQP,4.642e-01,9.878e-02,-5.634e+04,0
3791,AUG2DCQP,4.576e-01,1.014e-01,-5.635e+04,0
3792,AUG2DCQP,4.637e-01,1.056e-01,-5.635e+04,0
3793,AUG2DCQP,4.570e-01,1.080e-01,-5.636e+04,0
3794,AUG2DCQP,4.633e-01,1.118e-01,-5.637e+04,0
3795,AUG2DCQP,4.566e-01,1.140e-01,-5.637e+04,0
3796,AUG2DCQP,4.629e-01,1.173e-01,-5.638e+04,0
3797,AUG2DCQP,4.562e-01,1.192e-01,-5.638e+04,0
3798,AUG2DCQP,4.626e-01,1.221e-01,-5.639e+04,0
3799,AUG2DCQP,4.558e-01,1.237e-01,-5.640e+04,0
3800,AUG2DCQP,4.623e-01,1.262e-01,-5.640e+04,0
3801,AUG2DCQP,4.554e-01,1.275e-01,-5.641e+04,0
3802,AUG2DCQP,4.620e-01,1.296e-01,-5.641e+04,0
3803,AUG2DCQP,4.551e-01,1.305e-01,-5.642e+04,0
3804,AUG2DCQP,4.617e-01,1.323e-01,-5.643e+04,0
3805,AUG2DCQP,4.548e-01,1.328e-01,-5.643e+04,0
3806,AUG2DCQP,4.615e-01,1.342e-01,-5.644e+04,0
3807,AUG2DCQP,4.546e-01,1.344e-01,-5.644e+04,0
3808,AUG2DCQP,4.612e-01,1.354e-01,-5.645e+04,0
3809,AUG2DCQP,4.543e-01,1.353e-01,-5.646e+04,0
3810,AUG2DCQP,4.610e-01,1.358e-01,-5.646e+04,0
3811,AUG2DCQP,4.541e-01,1.354e-01,-5.647e+04,0
3812,AUG2DCQP,4.608e-01,1.356e-01,-5.647e+04,0
3813,AUG2DCQP,4.538e-01,1.348e-01,-5.648e+04,0
3814,AUG2DCQP,4.606e-01,1.347e-01,-5.649e+04,0
3815,AUG2DCQP,4.536e-01,1.336e-01,-5.649e+04,0
3816,AUG2DCQP,4.604e-01,1.331e-01,-5.650e+04,0
3817,AUG2DCQP,4.534e-01,1.317e-01,-5.650e+04,0
3818,AUG2DCQP,4.602e-01,1.309e-01,-5.651e+04,0
3819,AUG2DCQP,4.531e-01,1.292e-01,-5.652e+04,0
3820,AUG2DCQP,4.600e-01,1.281e-01,-5.652e+04,0
3821,AUG2DCQP,4.529e-01,1.261e-01,-5.653e+04,0
3822,AUG2DCQP,4.599e-01,1.247e-01,-5.654e+04,0
3823,AUG2DCQP,4.527e-01,1.224e-01,-5.654e+04,0
3824,AUG2DCQP,4.597e-01,1.207e-01,-5.655e+04,0
3825,AUG2DCQP,4.525e-01,1.183e-01,-5.655e+04,0
3826,AUG2DCQP,4.596e-01,1.163e-01,-5.656e+04,0
3827,AUG2DCQP,4.523e-01,1.136e-01,-5.657e+04,0
3828,AUG2DCQP,4.595e-01,1.115e-01,-5.657e+04,0
3829,AUG2DCQP,4.521e-01,1.086e-01,-5.658e+04,0
3830,AUG2DCQP,4.593e-01,1.062e-01,-5.659e+04,0
3831,AUG2DCQP,4.519e-01,1.031e-01,-5.659e+04,0
3832,AUG2DCQP,4.592e-01,1.006e-01,-5.660e+04,0
3833,AUG2DCQP,4.517e-01,9.736e-02,-5.660e+04,0
3834,AUG2DCQP,4.591e-01,9.469e-02,-5.661e+04,0
3835,AUG2DCQP,4.515e-01,9.132e-02,-5.662e+04,0
3836,AUG2DCQP,4.590e-01,8.852e-02,-5.662e+04,0
3837,AUG2DCQP,4.513e-01,8.505e-02,-5.663e+04,0
3838,AUG2DCQP,4.589e-01,8.215e-02,-5.664e+04,0
3839,AUG2DCQP,4.511e-01,7.860e-02,-5.664e+04,0
3840,AUG2DCQP,4.588e-01,7.562e-02,-5.665e+04,0
3841,AUG2DCQP,4.509e-01,7.202e-02,-5.666e+04,0
3842,AUG2DCQP,4.587e-01,6.900e-02,-5.666e+04,0
3843,AUG2DCQP,4.507e-01,6.536e-02,-5.667e+04,0
3844,AUG2DCQP,4.586e-01,6.231e-02,-5.667e+04,0
3845,AUG2DCQP,4.506e-01,6.098e-02,-5.668e+04,0
3846,AUG2DCQP,4.585e-01,5.966e-02,-5.669e+04,0
3847,AUG2DCQP,4.504e-01,5.872e-02,-5.669e+04,0
3848,AUG2DCQP,4.584e-01,5.724e-02,-5.670e+04,0
3849,AUG2DCQP,4.503e-01,5.614e-02,-5.671e+04,0
3850,AUG2DCQP,4.582e-01,5.450e-02,-5.671e+04,0
3851,AUG2DCQP,4.501e-01,5.323e-02,-5.672e+04,0
3852,AUG2DCQP,4.581e-01,5.144e-02,-5.673e+04,0
3853,AUG2DCQP,4.500e-01,5.002e-02,-5.673e+04,0
3854,AUG2DCQP,4.580e-01,4.843e-02,-5.674e+04,0
3855,AUG2DCQP,4.499e-01,4.761e-02,-5.675e+04,0
3856,AUG2DCQP,4.578e-01,4.655e-02,-5.675e+04,0
3857,AUG2DCQP,4.498e-01,4.559e-02,-5.676e+04,0
3858,AUG2DCQP,4.577e-01,4.440e-02,-5.677e+04,0
3859,AUG2DCQP,4.497e-01,4.331e-02,-5.677e+04,0
3860,AUG2DCQP,4.575e-01,4.199e-02,-5.678e+04,0
3861,AUG2DCQP,4.496e-01,4.078e-02,-5.679e+04,0
3862,AUG2DCQP,4.573e-01,3.934e-02,-5.679e+04,0
3863,AUG2DCQP,4.496e-01,3.801e-02,-5.680e+04,0
3864,AUG2DCQP,4.571e-01,3.646e-02,-5.681e+04,0
3865,AUG2DCQP,4.495e-01,3.502e-02,-5.681e+04,0
3866,AUG2DCQP,4.569e-01,3.336e-02,-5.682e+04,0
3867,AUG2DCQP,4.495e-01,3.357e-02,-5.683e+04,0
3868,AUG2DCQP,4.567e-01,3.574e-02,-5.683e+04,0
3869,AUG2DCQP,4.495e-01,3.775e-02,-5.684e+04,0
3870,AUG2DCQP,4.565e-01,3.973e-02,-5.685e+04,0
3871,AUG2DCQP,4.495e-01,4.156e-02,-5.685e+04,0
3872,AUG2DCQP,4.562e-01,4.336e-02,-5.686e+04,0
3873,AUG2DCQP,4.495e-01,4.499e-02,-5.687e+04,0
3874,AUG2DCQP,4.560e-01,4.660e-02,-5.687e+04,0
3875,AUG2DCQP,4.495e-01,4.805e-02,-5.688e+04,0
3876,AUG2DCQP,4.557e-01,4.947e-02,-5.689e+04,0
3877,AUG2DCQP,4.496e-01,5.073e-02,-5.689e+04,0
3878,AUG2DCQP,4.555e-01,5.197e-02,-5.690e+04,0
3879,AUG2DCQP,4.496e-01,5.304e-02,-5.691e+04,0
3880,AUG2DCQP,4.552e-01,5.408e-02,-5.691e+04,0
3881,AUG2DCQP,4.496e-01,5.496e-02,-5.692e+04,0
3882,AUG2DCQP,4.550e-01,5.582e-02,-5.693e+04,0
3883,AUG2DCQP,4.497e-01,5.652e-02,-5.693e+04,0
3884,AUG2DCQP,4.547e-01,5.720e-02,-5.694e+04,0
3885,AUG2DCQP,4.497e-01,5.772e-02,-5.695e+04,0
3886,AUG2DCQP,4.544e-01,5.822e-02,-5.695e+04,0
3887,AUG2DCQP,4.498e-01,5.856e-02,-5.696e+04,0
3888,AUG2DCQP,4.542e-01,5.889e-02,-5.697e+04,0
3889,AUG2DCQP,4.498e-01,5.907e-02,-5.697e+04,0
3890,AUG2DCQP,4.539e-01,5.924e-02,-5.698e+04,0
3891,AUG2DCQP,4.498e-01,5.926e-02,-5.699e+04,0
3892,AUG2DCQP,4.537e-01,5.927e-02,-5.699e+04,0
3893,AUG2DCQP,4.499e-01,5.914e-02,-5.700e+04,0
3894,AUG2DCQP,4.534e-01,5.901e-02,-5.701e+04,0
3895,AUG2DCQP,4.499e-01,5.873e-02,-5.701e+04,0
3896,AUG2DCQP,4.532e-01,5.846e-02,-5.702e+04,0
3897,AUG2DCQP,4.500e-01,5.805e-02,-5.703e+04,0
3898,AUG2DCQP,4.529e-01,5.765e-02,-5.703e+04,0
3899,AUG2DCQP,4.500e-01,5.712e-02,-5.704e+04,0
3900,AUG2DCQP,4.527e-01,5.660e-02,-5.705e+04,0
3901,AUG2DCQP,4.500e-01,5.595e-02,-5.706e+04,0
3902,AUG2DCQP,4.525e-01,5.622e-02,-5.706e+04,0
3903,AUG2DCQP,4.500e-01,5.725e-02,-5.707e+04,0
3904,AUG2DCQP,4.523e-01,5.816e-02,-5.708e+04,0
3905,AUG2DCQP,4.500e-01,5.902e-02,-5.708e+04,0
3906,AUG2DCQP,4.521e-01,5.976e-02,-5.709e+04,0
3907,AUG2DCQP,4.500e-01,6.044e-02,-5.710e+04,0
3908,AUG2DCQP,4.519e-01,6.101e-02,-5.710e+04,0
3909,AUG2DCQP,4.500e-01,6.152e-02,-5.711e+04,0
3910,AUG2DCQP,4.517e-01,6.192e-02,-5.712e+04,0
3911,AUG2DCQP,4.500e-01,6.225e-02,-5.712e+04,0
3912,AUG2DCQP,4.515e-01,6.247e-02,-5.713e+04,0
3913,AUG2DCQP,4.499e-01,6.264e-02,-5.714e+04,0
3914,AUG2DCQP,4.514e-01,6.269e-02,-5.714e+04,0
3915,AUG2DCQP,4.499e-01,6.268e-02,-5.715e+04,0
3916,AUG2DCQP,4.512e-01,6.256e-02,-5.716e+04,0
3917,AUG2DCQP,4.498e-01,6.239e-02,-5.716e+04,0
3918,AUG2DCQP,4.511e-01,6.212e-02,-5.717e+04,0
3919,AUG2DCQP,4.498e-01,6.178e-02,-5.718e+04,0
3920,AUG2DCQP,4.510e-01,6.135e-02,-5.718e+04,0
3921,AUG2DCQP,4.497e-01,6.086e-02,-5.719e+04,0
3922,AUG2DCQP,4.508e-01,6.028e-02,-5.720e+04,0
3923,AUG2DCQP,4.496e-01,5.965e-02,-5.721e+04,0
3924,AUG2DCQP,4.507e-01,5.892e-02,-5.721e+04,0
3925,AUG2DCQP,4.495e-01,5.815e-02,-5.722e+04,0
3926,AUG2DCQP,4.506e-01,5.729e-02,-5.723e+04,0
3927,AUG2DCQP,4.494e-01,5.638e-02,-5.723e+04,0
3928,AUG2DCQP,4.506e-01,5.539e-02,-5.724e+04,0
3929,AUG2DCQP,4.493e-01,5.437e-02,-5.725e+04,0
3930,AUG2DCQP,4.505e-01,5.327e-02,-5.725e+04,0
3931,AUG2DCQP,4.492e-01,5.213e-02,-5.726e+04,0
3932,AUG2DCQP,4.504e-01,5.092e-02,-5.727e+04,0
3933,AUG2DCQP,4.491e-01,5.002e-02,-5.727e+04,0
3934,AUG2DCQP,4.503e-01,4.964e-02,-5.728e+04,0
3935,AUG2DCQP,4.490e-01,4.902e-02,-5.729e+04,0
3936,AUG2DCQP,4.503e-01,4.855e-02,-5.729e+04,0
3937,AUG2DCQP,4.488e-01,4.785e-02,-5.730e+04,0
3938,AUG2DCQP,4.502e-01,4.729e-02,-5.731e+04,0
3939,AUG2DCQP,4.487e-01,4.651e-02,-5.732e+04,0
3940,AUG2DCQP,4.502e-01,4.587e-02,-5.732e+04,0
3941,AUG2DCQP,4.486e-01,4.502e-02,-5.733e+04,0
3942,AUG2DCQP,4.501e-01,4.431e-02,-5.734e+04,0
3943,AUG2DCQP,4.484e-01,4.349e-02,-5.734e+04,0
3944,AUG2DCQP,4.501e-01,4.282e-02,-5.735e+04,0
3945,AUG2DCQP,4.483e-01,4.194e-02,-5.736e+04,0
3946,AUG2DCQP,4.501e-01,4.122e-02,-5.736e+04,0
3947,AUG2DCQP,4.481e-01,4.028e-02,-5.737e+04,0
3948,AUG2DCQP,4.500e-01,3.949e-02,-5.738e+04,0
3949,AUG2DCQP,4.480e-01,3.941e-02,-5.738e+04,0
3950,AUG2DCQP,4.500e-01,3.932e-02,-5.739e+04,0
3951,AUG2DCQP,4.478e-01,3.992e-02,-5.740e+04,0
3952,AUG2DCQP,4.500e-01,4.079e-02,-5.740e+04,0
3953,AUG2DCQP,4.477e-01,4.173e-02,-5.741e+04,0
3954,AUG2DCQP,4.499e-01,4.249e-02,-5.742e+04,0
3955,AUG2DCQP,4.476e-01,4.333e-02,-5.742e+04,0
3956,AUG2DCQP,4.499e-01,4.398e-02,-5.743e+04,0
3957,AUG2DCQP,4.474e-01,4.470e-02,-5.744e+04,0
3958,AUG2DCQP,4.499e-01,4.523e-02,-5.745e+04,0
3959,AUG2DCQP,4.473e-01,4.584e-02,-5.745e+04,0
3960,AUG2DCQP,4.498e-01,4.626e-02,-5.746e+04,0
3961,AUG2DCQP,4.471e-01,4.675e-02,-5.747e+04,0
3962,AUG2DCQP,4.498e-01,4.705e-02,-5.747e+04,0
3963,AUG2DCQP,4.470e-01,4.743e-02,-5.748e+04,0
3964,AUG2DCQP,4.497e-01,4.762e-02,-5.749e+04,0
3965,AUG2DCQP,4.469e-01,4.789e-02,-5.749e+04,0
3966,AUG2DCQP,4.497e-01,4.797e-02,-5.750e+04,0
3967,AUG2DCQP,4.467e-01,4.812e-02,-5.751e+04,0
3968,AUG2DCQP,4.497e-01,4.808e-02,-5.751e+04,0
3969,AUG2DCQP,4.466e-01,4.812e-02,-5.752e+04,0
3970,AUG2DCQP,4.496e-01,4.798e-02,-5.753e+04,0
3971,AUG2DCQP,4.465e-01,4.791e-02,-5.754e+04,0
3972,AUG2DCQP,4.496e-01,4.767e-02,-5.754e+04,0
3973,AUG2DCQP,4.464e-01,4.749e-02,-5.755e+04,0
3974,AUG2DCQP,4.495e-01,4.714e-02,-5.756e+04,0
3975,AUG2DCQP,4.462e-01,4.686e-02,-5.756e+04,0
3976,AUG2DCQP,4.495e-01,4.641e-02,-5.757e+04,0
3977,AUG2DCQP,4.461e-01,4.604e-02,-5.758e+04,0
3978,AUG2DCQP,4.494e-01,4.549e-02,-5.758e+04,0
3979,AUG2DCQP,4.460e-01,4.502e-02,-5.759e+04,0
3980,AUG2DCQP,4.494e-01,4.528e-02,-5.760e+04,0
3981,AUG2DCQP,4.459e-01,4.530e-02,-5.760e+04,0
3982,AUG2DCQP,4.493e-01,4.574e-02,-5.761e+04,0
3983,AUG2DCQP,4.458e-01,4.571e-02,-5.762e+04,0
3984,AUG2DCQP,4.492e-01,4.611e-02,-5.762e+04,0
3985,AUG2DCQP,4.457e-01,4.603e-02,-5.763e+04,0
3986,AUG2DCQP,4.492e-01,4.638e-02,-5.764e+04,0
3987,AUG2DCQP,4.456e-01,4.626e-02,-5.765e+04,0
3988,AUG2DCQP,4.491e-01,4.657e-02,-5.765e+04,0
3989,AUG2DCQP,4.455e-01,4.640e-02,-5.766e+04,0
3990,AUG2DCQP,4.490e-01,4.666e-02,-5.767e+04,0
3991,AUG2DCQP,4.454e-01,4.645e-02,-5.767e+04,0
3992,AUG2DCQP,4.489e-01,4.667e-02,-5.768e+04,0
3993,AUG2DCQP,4.453e-01,4.642e-02,-5.769e+04,0
3994,AUG2DCQP,4.489e-01,4.659e-02,-5.769e+04,0
3995,AUG2DCQP,4.453e-01,4.630e-02,-5.770e+04,0
3996,AUG2DCQP,4.488e-01,4.643e-02,-5.771e+04,0
3997,AUG2DCQP,4.452e-01,4.610e-02,-5.771e+04,0
3998,AUG2DCQP,4.487e-01,4.619e-02,-5.772e+04,0
3999,AUG2DCQP,4.451e-01,4.582e-02,-5.773e+04,0
4000,AUG2DCQP,4.486e-01,4.587e-02,-5.773e+04,0
4001,AUG2DCQP,4.450e-01,4.546e-02,-5.774e+04,0
4002,AUG2DCQP,4.485e-01,4.547e-02,-5.775e+04,0
4003,AUG2DCQP,4.450e-01,4.503e-02,-5.776e+04,0
4004,AUG2DCQP,4.484e-01,4.501e-02,-5.776e+04,0
4005,AUG2DCQP,4.449e-01,4.453e-02,-5.777e+04,0
4006,AUG2DCQP,4.483e-01,4.448e-02,-5.778e+04,0
4007,AUG2DCQP,4.448e-01,4.397e-02,-5.778e+04,0
4008,AUG2DCQP,4.482e-01,4.388e-02,-5.779e+04,0
4009,AUG2DCQP,4.448e-01,4.334e-02,-5.780e+04,0
4010,AUG2DCQP,4.481e-01,4.322e-02,-5.780e+04,0
4011,AUG2DCQP,4.447e-01,4.265e-02,-5.781e+04,0
4012,AUG2DCQP,4.480e-01,4.250e-02,-5.782e+04,0
4013,AUG2DCQP,4.447e-01,4.191e-02,-5.782e+04,0
4014,AUG2DCQP,4.479e-01,4.173e-02,-5.783e+04,0
4015,AUG2DCQP,4.446e-01,4.111e-02,-5.784e+04,0
4016,AUG2DCQP,4.478e-01,4.091e-02,-5.784e+04,0
4017,AUG2DCQP,4.446e-01,4.027e-02,-5.785e+04,0
4018,AUG2DCQP,4.477e-01,4.005e-02,-5.786e+04,0
4019,AUG2DCQP,4.446e-01,3.938e-02,-5.787e+04,0
4020,AUG2DCQP,4.475e-01,3.914e-02,-5.787e+04,0
4021,AUG2DCQP,4.445e-01,3.846e-02,-5.788e+04,0
4022,AUG2DCQP,4.474e-01,3.820e-02,-5.789e+04,0
4023,AUG2DCQP,4.445e-01,3.750e-02,-5.789e+04,0
4024,AUG2DCQP,4.473e-01,3.722e-02,-5.790e+04,0
4025,AUG2DCQP,4.444e-01,3.651e-02,-5.791e+04,0
4026,AUG2DCQP,4.472e-01,3.622e-02,-5.791e+04,0
4027,AUG2DCQP,4.444e-01,3.549e-02,-5.792e+04,0
4028,AUG2DCQP,4.471e-01,3.518e-02,-5.793e+04,0
4029,AUG2DCQP,4.444e-01,3.445e-02,-5.793e+04,0
4030,AUG2DCQP,4.469e-01,3.413e-02,-5.794e+04,0
4031,AUG2DCQP,4.444e-01,3.339e-02,-5.795e+04,0
4032,AUG2DCQP,4.468e-01,3.307e-02,-5.795e+04,0
4033,AUG2DCQP,4.443e-01,3.231e-02,-5.796e+04,0
4034,AUG2DCQP,4.467e-01,3.199e-02,-5.797e+04,0
4035,AUG2DCQP,4.443e-01,3.123e-02,-5.798e+04,0
4036,AUG2DCQP,4.465e-01,3.090e-02,-5.798e+04,0
4037,AUG2DCQP,4.443e-01,3.046e-02,-5.799e+04,0
4038,AUG2DCQP,4.464e-01,3.025e-02,-5.800e+04,0
4039,AUG2DCQP,4.443e-01,3.016e-02,-5.800e+04,0
4040,AUG2DCQP,4.463e-01,3.008e-02,-5.801e+04,0
4041,AUG2DCQP,4.442e-01,3.005e-02,-5.802e+04,0
4042,AUG2DCQP,4.462e-01,2.991e-02,-5.802e+04,0
4043,AUG2DCQP,4.442e-01,2.981e-02,-5.803e+04,0
4044,AUG2DCQP,4.460e-01,2.962e-02,-5.804e+04,0
4045,AUG2DCQP,4.442e-01,2.946e-02,-5.804e+04,0
4046,AUG2DCQP,4.459e-01,2.926e-02,-5.805e+04,0
4047,AUG2DCQP,4.442e-01,2.958e-02,-5.806e+04,0
4048,AUG2DCQP,4.458e-01,3.034e-02,-5.806e+04,0
4049,AUG2DCQP,4.442e-01,3.094e-02,-5.807e+04,0
4050,AUG2DCQP,4.456e-01,3.163e-02,-5.808e+04,0
4051,AUG2DCQP,4.441e-01,3.216e-02,-5.808e+04,0
4052,AUG2DCQP,4.455e-01,3.279e-02,-5.809e+04,0
4053,AUG2DCQP,4.441e-01,3.326e-02,-5.810e+04,0
4054,AUG2DCQP,4.454e-01,3.381e-02,-5.811e+04,0
4055,AUG2DCQP,4.441e-01,3.422e-02,-5.811e+04,0
4056,AUG2DCQP,4.452e-01,3.471e-02,-5.812e+04,0
4057,AUG2DCQP,4.441e-01,3.504e-02,-5.813e+04,0
4058,AUG2DCQP,4.451e-01,3.546e-02,-5.813e+04,0
4059,AUG2DCQP,4.441e-01,3.573e-02,-5.814e+04,0
4060,AUG2DCQP,4.450e-01,3.608e-02,-5.815e+04,0
4061,AUG2DCQP,4.440e-01,3.628e-02,-5.815e+04,0
4062,AUG2DCQP,4.449e-01,3.656e-02,-5.816e+04,0
4063,AUG2DCQP,4.440e-01,3.669e-02,-5.817e+04,0
4064,AUG2DCQP,4.447e-01,3.690e-02,-5.817e+04,0
4065,AUG2DCQP,4.440e-01,3.696e-02,-5.818e+04,0
4066,AUG2DCQP,4.446e-01,3.710e-02,-5.819e+04,0
4067,AUG2DCQP,4.440e-01,3.710e-02,-5.819e+04,0
4068,AUG2DCQP,4.445e-01,3.717e-02,-5.820e+04,0
4069,AUG2DCQP,4.439e-01,3.710e-02,-5.821e+04,0
4070,AUG2DCQP,4.444e-01,3.711e-02,-5.822e+04,0
4071,AUG2DCQP,4.439e-01,3.697e-02,-5.822e+04,0
4072,AUG2DCQP,4.443e-01,3.691e-02,-5.823e+04,0
4073,AUG2DCQP,4.439e-01,3.671e-02,-5.824e+04,0
4074,AUG2DCQP,4.442e-01,3.659e-02,-5.824e+04,0
4075,AUG2DCQP,4.438e-01,3.632e-02,-5.825e+04,0
4076,AUG2DCQP,4.440e-01,3.614e-02,-5.826e+04,0
4077,AUG2DCQP,4.438e-01,3.581e-02,-5.826e+04,0
4078,AUG2DCQP,4.439e-01,3.556e-02,-5.827e+04,0
4079,AUG2DCQP,4.438e-01,3.517e-02,-5.828e+04,0
4080,AUG2DCQP,4.438e-01,3.487e-02,-5.828e+04,0
4081,AUG2DCQP,4.437e-01,3.442e-02,-5.829e+04,0
4082,AUG2DCQP,4.437e-01,3.406e-02,-5.830e+04,0
4083,AUG2DCQP,4.437e-01,3.356e-02,-5.830e+04,0
4084,AUG2DCQP,4.436e-01,3.314e-02,-5.831e+04,0
4085,AUG2DCQP,4.436e-01,3.259e-02,-5.832e+04,0
4086,AUG2DCQP,4.435e-01,3.212e-02,-5.832e+04,0
4087,AUG2DCQP,4.436e-01,3.151e-02,-5.833e+04,0
4088,AUG2DCQP,4.434e-01,3.100e-02,-5.834e+04,0
4089,AUG2DCQP,4.436e-01,3.034e-02,-5.834e+04,0
4090,AUG2DCQP,4.434e-01,2.978e-02,-5.835e+04,0
4091,AUG2DCQP,4.435e-01,2.908e-02,-5.836e+04,0
4092,AUG2DCQP,4.433e-01,2.847e-02,-5.837e+04,0
4093,AUG2DCQP,4.434e-01,2.799e-02,-5.837e+04,0
4094,AUG2DCQP,4.432e-01,2.819e-02,-5.838e+04,0
4095,AUG2DCQP,4.434e-01,2.846e-02,-5.839e+04,0
4096,AUG2DCQP,4.431e-01,2.860e-02,-5.839e+04,0
4097,AUG2DCQP,4.433e-01,2.881e-02,-5.840e+04,0
4098,AUG2DCQP,4.430e-01,2.888e-02,-5.841e+04,0
4099,AUG2DCQP,4.433e-01,2.903e-02,-5.841e+04,0
4100,AUG2DCQP,4.429e-01,2.905e-02,-5.842e+04,0
4101,AUG2DCQP,4.432e-01,2.914e-02,-5.843e+04,0
4102,AUG2DCQP,4.429e-01,2.909e-02,-5.843e+04,0
4103,AUG2DCQP,4.431e-01,2.912e-02,-5.844e+04,0
4104,AUG2DCQP,4.428e-01,2.902e-02,-5.845e+04,0
4105,AUG2DCQP,4.431e-01,2.899e-02,-5.845e+04,0
4106,AUG2DCQP,4.427e-01,2.882e-02,-5.846e+04,0
4107,AUG2DCQP,4.430e-01,2.874e-02,-5.847e+04,0
4108,AUG2DCQP,4.427e-01,2.852e-02,-5.847e+04,0
4109,AUG2DCQP,4.429e-01,2.837e-02,-5.848e+04,0
4110,AUG2DCQP,4.426e-01,2.810e-02,-5.849e+04,0
4111,AUG2DCQP,4.428e-01,2.790e-02,-5.849e+04,0
4112,AUG2DCQP,4.426e-01,2.757e-02,-5.850e+04,0
4113,AUG2DCQP,4.427e-01,2.732e-02,-5.851e+04,0
4114,AUG2DCQP,4.425e-01,2.694e-02,-5.852e+04,0
4115,AUG2DCQP,4.427e-01,2.663e-02,-5.852e+04,0
4116,AUG2DCQP,4.424e-01,2.620e-02,-5.853e+04,0
4117,AUG2DCQP,4.426e-01,2.585e-02,-5.854e+04,0
4118,AUG2DCQP,4.424e-01,2.546e-02,-5.854e+04,0
4119,AUG2DCQP,4.425e-01,2.547e-02,-5.855e+04,0
4120,AUG2DCQP,4.423e-01,2.539e-02,-5.856e+04,0
4121,AUG2DCQP,4.424e-01,2.544e-02,-5.856e+04,0
4122,AUG2DCQP,4.423e-01,2.596e-02,-5.857e+04,0
4123,AUG2DCQP,4.423e-01,2.638e-02,-5.858e+04,0
4124,AUG2DCQP,4.423e-01,2.684e-02,-5.858e+04,0
4125,AUG2DCQP,4.422e-01,2.721e-02,-5.859e+04,0
4126,AUG2DCQP,4.422e-01,2.762e-02,-5.860e+04,0
4127,AUG2DCQP,4.421e-01,2.794e-02,-5.860e+04,0
4128,AUG2DCQP,4.422e-01,2.830e-02,-5.861e+04,0
4129,AUG2DCQP,4.420e-01,2.856e-02,-5.862e+04,0
4130,AUG2DCQP,4.421e-01,2.887e-02,-5.862e+04,0
