problem name,setup time,solve time,run time,primal residual,dual residual,duality gap,restart,restart_type,alpha,rho_is_vec,adaptive_rho_tolerance_greater,adaptive_rho_tolerance_less,rho_custom_condition,rho_custom_tolerance,adapt_rho_on_restart,custom_average_rest,beta,ini_rest_len,lambd,xi,vector_rho_in_averaged_KKT,halpern_scheme,alpha_adjustment_reflected_halpern,adaptive_rest,restart_necessary,restart_artificial,halpern_step_first_inner_iter
AUG3DC.mat,0.0035195,0.0355021,0.039021600000000004,1.0131717687045239e-10,1.247988379304843e-10,-1.752150637912564e-07,23,halpern,1.0,-1,2.5,2.5,0,-1,0,-1,0.1,10,-1,-1,-1,none,-1,0,-1,-1,0
AUG3DC.mat,0.003625,0.0322392,0.035864200000000006,1.0131717687045239e-10,1.247988379304843e-10,-1.752150637912564e-07,23,halpern,1.0,-1,2.5,2.5,0,-1,0,-1,0.1,10,-1,-1,-1,none,-1,0,-1,-1,0
AUG3DC.mat,0.0029072,0.0201988,0.023105999999999998,4.207745263329343e-14,7.616129948928574e-14,1.318767317570746e-11,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
AUG3DC.mat,0.0039939,0.0129831,0.016977,3.375077994860476e-14,4.1744385725905886e-14,2.523847797419876e-11,6,halpern,1.0,-1,2.5,2.5,0,-1,0,-1,0.1,10,-1,-1,-1,none,-1,0,-1,-1,0
AUG3DC.mat,0.0039976,0.0126676,0.016665199999999998,3.375077994860476e-14,4.1744385725905886e-14,2.523847797419876e-11,6,halpern,1.0,-1,2.5,2.5,0,-1,0,-1,0.1,10,-1,-1,-1,none,-1,0,-1,-1,0
AUG2DC.mat,0.0148833,1.3782503,1.3931335999999999,4.179101509294014e-12,4.276579090856103e-13,-3.543682396411896e-07,12,halpern,1.0,-1,2.5,2.5,0,-1,0,-1,0.1,10,-1,-1,-1,none,-1,0,-1,-1,0
AUG2DC.mat,0.0226553,1.6956481,1.7183034000000001,4.179101509294014e-12,4.276579090856103e-13,-3.543682396411896e-07,12,halpern,1.0,-1,2.5,2.5,0,-1,0,-1,0.1,10,-1,-1,-1,none,-1,0,-1,-1,0
AUG3DC.mat,0.0039039,0.0120966,0.0160005,3.375077994860476e-14,4.1744385725905886e-14,2.523847797419876e-11,6,halpern,1.0,-1,2.5,2.5,0,-1,0,-1,0.1,10,-1,-1,-1,none,-1,0,-1,-1,0
AUG3DC.mat,0.0041844,0.0117094,0.0158938,3.375077994860476e-14,4.1744385725905886e-14,2.523847797419876e-11,6,halpern,1.0,-1,2.5,2.5,0,-1,0,-1,0.1,10,-1,-1,-1,none,-1,0,-1,-1,0
AUG3DC.mat,0.0033613,0.0139577,0.017319,3.375077994860476e-14,4.1744385725905886e-14,2.523847797419876e-11,6,halpern,1.0,-1,2.5,2.5,0,-1,0,-1,0.1,10,-1,-1,-1,none,-1,0,-1,-1,0
AUG3DC.mat,0.0037403,0.0121642,0.0159045,3.375077994860476e-14,4.1744385725905886e-14,2.523847797419876e-11,6,halpern,1.0,-1,2.5,2.5,0,-1,0,-1,0.1,10,-1,-1,-1,none,-1,0,-1,-1,0
AUG3DC.mat,0.0034406,0.0119655,0.0154061,3.375077994860476e-14,4.1744385725905886e-14,2.523847797419876e-11,6,halpern,1.0,-1,2.5,2.5,0,-1,0,-1,0.1,10,-1,-1,-1,none,-1,0,-1,-1,0
AUG3DC.mat,0.0036817,0.0147119,0.0183936,3.375077994860476e-14,4.1744385725905886e-14,2.523847797419876e-11,6,halpern,1.0,-1,2.5,2.5,0,-1,0,-1,0.1,10,-1,-1,-1,none,-1,0,-1,-1,0
AUG3DC.mat,0.004047,0.0115982,0.015645199999999998,3.375077994860476e-14,4.1744385725905886e-14,2.523847797419876e-11,6,halpern,1.0,-1,2.5,2.5,0,-1,0,-1,0.1,10,-1,-1,-1,none,-1,0,-1,-1,0
AUG3DC.mat,0.0084979,0.0299959,0.038493799999999995,3.375077994860476e-14,4.1744385725905886e-14,2.523847797419876e-11,6,halpern,1.0,-1,2.5,2.5,0,-1,0,-1,0.1,10,-1,-1,-1,none,-1,0,-1,-1,0
