problem name,setup time,solve time,run time,status,primal residual,dual residual,duality gap,restart,iterations,task_id,restart_type,alpha,rho_is_vec,adaptive_rho_tolerance_greater,adaptive_rho_tolerance_less,rho_custom_condition,rho_custom_tolerance,adapt_rho_on_restart,custom_average_rest,beta,ini_rest_len,lambd,xi,vector_rho_in_averaged_KKT,halpern_scheme,alpha_adjustment_reflected_halpern,adaptive_rest,restart_necessary,restart_artificial,halpern_step_first_inner_iter
CVXQP3_M,0.006505612,0.434991864,0.441497476,solved,5.32068541565988e-07,0.008258332203936902,-0.05290418164804578,60,3000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CVXQP3_S,0.000186471,0.000604014,0.0007904850000000001,solved,5.7154576568689595e-06,0.0005429047784808032,-0.001562199839099776,2,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DPKLO1,0.000285622,0.000547333,0.000832955,solved,6.524692980467277e-08,8.613375387015631e-08,9.837812046109562e-07,1,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DTOC3,0.008251553,0.209804973,0.218056526,solved,3.1691644863940382e-09,5.680881112746228e-13,-0.00021497689698435352,7,350,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DUAL1,0.000274112,0.000833695,0.001107807,solved,4.2172907670453484e-09,1.1735761827320929e-07,6.908460047777565e-08,1,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DUAL2,0.000329092,0.001042497,0.001371589,solved,1.7181937387498017e-09,8.551818046359723e-08,7.743254176045822e-08,1,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DUAL3,0.000440433,0.001406779,0.001847212,solved,6.146292660025998e-09,2.2753850918425693e-07,2.1341679032338412e-07,1,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DUAL4,0.000200952,0.000645974,0.000846926,solved,6.173375399307636e-08,2.766849389944605e-07,2.111747851030188e-07,1,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DUALC1,0.000135001,0.00462942,0.0047644210000000005,solved,1.2376726850070172e-08,0.2467839169517826,0.004323018453931082,14,700,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DUALC2,0.000117391,0.00162518,0.001742571,solved,1.6144107354559918e-08,0.0074792132947999026,-0.001431395862414625,5,275,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DUALC5,0.000132191,0.000600373,0.000732564,solved,3.542607445958433e-08,3.1717560038309495e-06,-1.6643495489686244e-05,1,75,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DUALC8,0.000241002,0.001079287,0.0013202889999999999,solved,3.0321538203843975e-08,0.010200111492801164,0.006519697276938866,1,75,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
EXDATA,0.361344342,6.620392242,6.981736584,solved,1.2244061714739018e-05,2.648344611141593e-06,-9.55822998344642e-05,23,1150,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
GENHS28,0.000101151,3.033e-05,0.000131481,solved,1.3897433450027083e-09,3.5902620876271385e-09,6.971083266194e-09,1,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
GOULDQP2,0.000400542,0.056793214,0.057193756,solved,3.362634615200477e-05,3.697312164659926e-10,-3.3617897852826484e-07,43,2175,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
GOULDQP3,0.000468743,0.001304778,0.001773521,solved,4.022339350484572e-09,1.631459897021014e-08,9.870644577492093e-07,1,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
HS118,7.41e-05,0.000468513,0.000542613,solved,1.8258021423633863e-06,5.113051284588721e-08,-1.5084033293533137e-06,13,675,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
HS21,8.46e-06,1.919e-05,2.765e-05,solved,7.621471044541431e-07,1.874919494353522e-08,7.012517330706736e-09,1,75,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
HS268,1.658e-05,9.972e-05,0.00011630000000000001,solved,2.9937461788616806e-14,0.005304829026330345,-0.026615756172583622,5,250,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
HS35,9.82e-06,1.497e-05,2.4789999999999998e-05,solved,8.632117123050005e-11,1.7898321713616383e-11,1.770514761034759e-12,1,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
HS35MOD,9.971e-06,1.505e-05,2.5021e-05,solved,6.93985105987867e-10,7.3020380852994996e-09,4.96574115365242e-09,1,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
HS51,1.375e-05,1.868e-05,3.243e-05,solved,6.000127132139516e-09,2.089465737631865e-08,2.7803403478299667e-08,1,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
HS52,1.24e-05,1.795e-05,3.035e-05,solved,7.145616255768474e-12,3.233602123646081e-11,6.803184170798909e-11,1,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
HS53,1.213e-05,1.071e-05,2.284e-05,solved,3.5527750360094117e-07,4.239780161608801e-06,2.8387329139679874e-06,0,25,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
HS76,2.843e-05,1.765e-05,4.608e-05,solved,4.0779076613981343e-07,3.160869573903304e-07,3.0576746839733224e-07,1,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
