problem name,setup time,solve time,run time,status,primal residual,primal ratio,prim_normalized,dual residual,dual ratio,dual_normalized,duality gap,duality gap ratio,duality_gap_normalized,integral_sum,restart,iterations,task_id,restart_type,alpha,rho_is_vec,adaptive_rho_tolerance_greater,adaptive_rho_tolerance_less,rho_custom_condition,rho_custom_tolerance,adapt_rho_on_restart,custom_average_rest,beta,ini_rest_len,lambd,xi,vector_rho_in_averaged_KKT,halpern_scheme,alpha_adjustment_reflected_halpern,adaptive_rest,restart_necessary,restart_artificial,halpern_step_first_inner_iter,pid_controller,KP,KI,negate_K
AUG2DCQP_Maros_Meszaros,0.022518383,1.430582108,1.453100491,solved,1.0397068395946911e-05,0.0001557154871599583,1.5682796189673586e-07,1.8189079566965916e-05,0.2743615958491568,2.7436159584915677e-07,-2.0773785412311554,0.15073107521023701,1.5073107926474912e-07,120.81640332146709,34,1700,5,reflected halpern,1.118087161668963,-1,14.955140383130786,46.828655065900435,-1,-1,1,-1,0.7539407999438441,50,0.3121812468798405,-1,-1,none,1,1,0.6167106503097293,0.5251243394345884,0,0,-1,-1,-1
AUG2DC_Maros_Meszaros,0.021812858,0.041559863,0.063372721,solved,5.313179678445579e-07,0.01493355750499778,1.493355750499778e-08,1.3388268271796733e-09,3.762991019112429e-05,3.7629910191124284e-11,-1.1331527410075068,0.30830879448364895,3.083087935967667e-07,0.0127221380629454,1,50,5,reflected halpern,1.118087161668963,-1,14.955140383130786,46.828655065900435,-1,-1,1,-1,0.7539407999438441,50,0.3121812468798405,-1,-1,none,1,1,0.6167106503097293,0.5251243394345884,0,0,-1,-1,-1
AUG2DQP_Maros_Meszaros,0.063436563,1.289417041,1.352853604,solved,1.0612235826904308e-06,1.5827784237199858e-05,1.5932245604890704e-08,1.3634960904990553e-08,0.00020782296594658883,2.0782296594658882e-10,0.2973355296999216,0.02246381169585294,2.2463810288617528e-08,105.74312453965015,30,1525,5,reflected halpern,1.118087161668963,-1,14.955140383130786,46.828655065900435,-1,-1,1,-1,0.7539407999438441,50,0.3121812468798405,-1,-1,none,1,1,0.6167106503097293,0.5251243394345884,0,0,-1,-1,-1
AUG2D_Maros_Meszaros,0.017227,0.084583968,0.101810968,solved,2.9319431016361364e-07,0.008160942491842814,8.160942491842812e-09,1.3470327075992827e-09,3.856761245780278e-05,3.8567612457802774e-11,-0.5783348376862705,0.17036789627084592,1.703678959964935e-07,0.009483021218022096,1,50,5,reflected halpern,1.118087161668963,-1,14.955140383130786,46.828655065900435,-1,-1,1,-1,0.7539407999438441,50,0.3121812468798405,-1,-1,none,1,1,0.6167106503097293,0.5251243394345884,0,0,-1,-1,-1
AUG3DCQP_Maros_Meszaros,0.003666064,0.015671819,0.019337883,solved,1.3754142983435358e-06,0.31909066951189463,3.190906695118946e-07,1.981549910268221e-06,0.4597117307128605,4.5971173071286045e-07,-0.0002282186746924708,0.03556699465468957,3.556699132377119e-08,0.7073332652949862,2,100,5,reflected halpern,1.118087161668963,-1,14.955140383130786,46.828655065900435,-1,-1,1,-1,0.7539407999438441,50,0.3121812468798405,-1,-1,none,1,1,0.6167106503097293,0.5251243394345884,0,0,-1,-1,-1
AUG3DC_Maros_Meszaros,0.003459182,0.007145566,0.010604748,solved,1.5837124944795278e-09,0.0004188520490350077,4.188520490350077e-10,1.339033217639951e-09,0.0003541405456416212,3.5414054564162123e-10,1.5840953437873395e-06,0.0003433930443944192,3.433957553130139e-10,0.0011722482698851768,1,50,5,reflected halpern,1.118087161668963,-1,14.955140383130786,46.828655065900435,-1,-1,1,-1,0.7539407999438441,50,0.3121812468798405,-1,-1,none,1,1,0.6167106503097293,0.5251243394345884,0,0,-1,-1,-1
AUG3DQP_Maros_Meszaros,0.003442922,0.054592097,0.058035019,solved,2.240570719454255e-08,0.0050421366959303065,5.0421366959303064e-09,3.238374536164501e-07,0.07287574965693774,7.287574965693775e-08,1.3051908354100306e-07,2.6844887631964982e-05,2.684315741132421e-11,4.185235920824253,2,100,5,reflected halpern,1.118087161668963,-1,14.955140383130786,46.828655065900435,-1,-1,1,-1,0.7539407999438441,50,0.3121812468798405,-1,-1,none,1,1,0.6167106503097293,0.5251243394345884,0,0,-1,-1,-1
AUG3D_Maros_Meszaros,0.003437152,0.007205045,0.010642197,solved,1.773713176334013e-09,0.00044210119556468535,4.4210119556468534e-10,1.34712951904703e-09,0.00033577445265537033,3.3577445265537027e-10,1.917952204166795e-06,0.0005071055145829634,5.071082800019248e-10,0.0013248684491178654,1,50,5,reflected halpern,1.118087161668963,-1,14.955140383130786,46.828655065900435,-1,-1,1,-1,0.7539407999438441,50,0.3121812468798405,-1,-1,none,1,1,0.6167106503097293,0.5251243394345884,0,0,-1,-1,-1
CONT-050_Maros_Meszaros,0.005660036,0.451618279,0.457278315,solved,1.705858972991107e-06,0.37907962801964296,3.7907962807438273e-07,8.642149236889885e-10,0.0008630067135400962,8.630067137009401e-10,-3.7096939503527436e-06,0.3890236217737272,3.890236187808276e-07,0.6270281074205698,35,1775,5,reflected halpern,1.118087161668963,-1,14.955140383130786,46.828655065900435,-1,-1,1,-1,0.7539407999438441,50,0.3121812468798405,-1,-1,none,1,1,0.6167106503097293,0.5251243394345884,0,0,-1,-1,-1
CONT-100_Maros_Meszaros,0.042178658,10.969138211,11.011316869,solved,4.693003581885346e-07,0.10428895759718952,1.0428895761015321e-07,8.395682638712067e-10,0.000839274535736468,8.392745177506068e-10,1.814136972465974e-06,0.18768522248918207,1.8768523069473514e-07,10.631936864766205,172,8625,5,reflected halpern,1.118087161668963,-1,14.955140383130786,46.828655065900435,-1,-1,1,-1,0.7539407999438441,50,0.3121812468798405,-1,-1,none,1,1,0.6167106503097293,0.5251243394345884,0,0,-1,-1,-1
